,xrsa,xrsb
1992-02-02 15:12:00.500,4.15e-07,6.17e-06
1992-02-02 15:12:03.500,4.21e-07,6.17e-06
1992-02-02 15:12:06.500,4.25e-07,6.2e-06
1992-02-02 15:12:09.500,4.28e-07,6.24e-06
1992-02-02 15:12:12.500,4.34e-07,6.27e-06
1992-02-02 15:12:15.500,4.44e-07,6.3e-06
1992-02-02 15:12:18.500,4.5e-07,6.37e-06
1992-02-02 15:12:21.500,4.6e-07,6.4e-06
1992-02-02 15:12:24.500,4.7e-07,6.47e-06
1992-02-02 15:12:37.500,4.95e-07,6.61e-06
1992-02-02 15:12:40.500,5.02e-07,6.68e-06
1992-02-02 15:12:43.500,5.08e-07,6.71e-06
1992-02-02 15:12:46.500,5.11e-07,6.78e-06
1992-02-02 15:12:49.500,5.24e-07,6.81e-06
1992-02-02 15:12:52.500,5.31e-07,6.84e-06
1992-02-02 15:12:55.500,5.34e-07,6.91e-06
1992-02-02 15:12:58.500,5.44e-07,6.95e-06
1992-02-02 15:13:01.500,5.5e-07,6.98e-06
1992-02-02 15:13:04.500,5.57e-07,7.01e-06
1992-02-02 15:13:07.500,5.66e-07,7.08e-06
1992-02-02 15:13:11.500,5.76e-07,7.12e-06
1992-02-02 15:13:13.500,5.82e-07,7.18e-06
1992-02-02 15:13:16.500,5.82e-07,7.22e-06
1992-02-02 15:13:19.500,5.89e-07,7.29e-06
1992-02-02 15:13:23.500,5.98e-07,7.32e-06
1992-02-02 15:13:25.500,6.08e-07,7.39e-06
1992-02-02 15:13:29.500,6.14e-07,7.42e-06
1992-02-02 15:13:32.500,6.24e-07,7.45e-06
1992-02-02 15:13:35.500,6.34e-07,7.52e-06
1992-02-02 15:13:38.500,6.43e-07,7.59e-06
1992-02-02 15:13:41.500,6.47e-07,7.62e-06
1992-02-02 15:13:44.500,6.5e-07,7.66e-06
1992-02-02 15:13:47.500,6.56e-07,7.73e-06
1992-02-02 15:13:50.500,6.69e-07,7.76e-06
1992-02-02 15:13:53.500,6.76e-07,7.79e-06
1992-02-02 15:13:56.500,6.79e-07,7.86e-06
1992-02-02 15:13:59.500,6.85e-07,7.89e-06
1992-02-02 15:14:02.500,6.92e-07,7.93e-06
1992-02-02 15:14:05.500,6.98e-07,8e-06
1992-02-02 15:14:08.500,7.04e-07,8.03e-06
1992-02-02 15:14:11.500,7.14e-07,8.06e-06
1992-02-02 15:14:15.500,7.21e-07,8.1e-06
1992-02-02 15:14:18.500,7.27e-07,8.13e-06
1992-02-02 15:14:21.500,7.33e-07,8.2e-06
1992-02-02 15:14:24.500,7.4e-07,8.23e-06
1992-02-02 15:14:27.500,7.43e-07,8.27e-06
1992-02-02 15:14:30.500,7.5e-07,8.34e-06
1992-02-02 15:14:33.500,7.56e-07,8.37e-06
1992-02-02 15:14:36.500,7.59e-07,8.4e-06
1992-02-02 15:14:39.500,7.59e-07,8.44e-06
1992-02-02 15:14:42.500,7.69e-07,8.47e-06
1992-02-02 15:14:45.500,7.75e-07,8.54e-06
1992-02-02 15:14:48.500,7.78e-07,8.54e-06
1992-02-02 15:14:51.500,7.85e-07,8.57e-06
1992-02-02 15:14:54.500,7.95e-07,8.64e-06
1992-02-02 15:14:58.500,7.98e-07,8.67e-06
1992-02-02 15:15:00.500,8.01e-07,8.67e-06
1992-02-02 15:15:04.500,8.04e-07,8.74e-06
1992-02-02 15:15:07.500,8.07e-07,8.78e-06
1992-02-02 15:15:10.500,8.17e-07,8.78e-06
1992-02-02 15:15:13.500,8.2e-07,8.81e-06
1992-02-02 15:15:16.500,8.27e-07,8.84e-06
1992-02-02 15:15:19.500,8.27e-07,8.88e-06
1992-02-02 15:15:22.500,8.3e-07,8.91e-06
1992-02-02 15:15:25.500,8.36e-07,8.94e-06
1992-02-02 15:15:28.500,8.36e-07,8.98e-06
1992-02-02 15:15:31.500,8.36e-07,9.01e-06
1992-02-02 15:15:34.500,8.43e-07,9.05e-06
1992-02-02 15:15:37.500,8.46e-07,9.08e-06
1992-02-02 15:15:40.500,8.49e-07,9.11e-06
1992-02-02 15:15:43.500,8.56e-07,9.15e-06
1992-02-02 15:15:46.500,8.59e-07,9.15e-06
1992-02-02 15:15:49.500,8.62e-07,9.22e-06
1992-02-02 15:15:52.500,8.62e-07,9.25e-06
1992-02-02 15:15:56.500,8.62e-07,9.28e-06
1992-02-02 15:15:59.500,8.65e-07,9.32e-06
1992-02-02 15:16:02.500,8.69e-07,9.32e-06
1992-02-02 15:16:05.500,8.69e-07,9.35e-06
1992-02-02 15:16:08.500,8.72e-07,9.35e-06
1992-02-02 15:16:11.500,8.69e-07,9.39e-06
1992-02-02 15:16:14.500,8.69e-07,9.42e-06
1992-02-02 15:16:17.500,8.72e-07,9.42e-06
1992-02-02 15:16:20.500,8.78e-07,9.45e-06
1992-02-02 15:16:23.500,8.78e-07,9.49e-06
1992-02-02 15:16:26.500,8.81e-07,9.52e-06
1992-02-02 15:16:29.500,8.85e-07,9.55e-06
1992-02-02 15:16:32.500,8.81e-07,9.55e-06
1992-02-02 15:16:35.500,8.81e-07,9.59e-06
1992-02-02 15:16:38.500,8.85e-07,9.62e-06
1992-02-02 15:16:41.500,8.85e-07,9.66e-06
1992-02-02 15:16:44.500,8.81e-07,9.66e-06
1992-02-02 15:16:48.500,8.85e-07,9.69e-06
1992-02-02 15:16:51.500,8.85e-07,9.72e-06
1992-02-02 15:16:54.500,8.78e-07,9.76e-06
1992-02-02 15:16:57.500,8.88e-07,9.76e-06
1992-02-02 15:17:00.500,8.88e-07,9.79e-06
1992-02-02 15:17:03.500,8.88e-07,9.79e-06
1992-02-02 15:17:06.500,8.88e-07,9.83e-06
1992-02-02 15:17:09.500,8.88e-07,9.86e-06
1992-02-02 15:17:12.500,8.88e-07,9.86e-06
1992-02-02 15:17:15.500,8.81e-07,9.89e-06
1992-02-02 15:17:18.500,8.85e-07,9.86e-06
1992-02-02 15:17:21.500,8.81e-07,9.89e-06
1992-02-02 15:17:24.500,8.75e-07,9.89e-06
1992-02-02 15:17:27.500,8.81e-07,9.93e-06
1992-02-02 15:17:30.500,8.81e-07,9.93e-06
1992-02-02 15:17:33.500,8.81e-07,9.96e-06
1992-02-02 15:17:36.500,8.78e-07,9.96e-06
1992-02-02 15:17:40.500,8.75e-07,9.99e-06
1992-02-02 15:17:43.500,8.72e-07,9.99e-06
