,xrsa,xrsb
1980-11-04 11:04:00.500,3.004e-07,5.05e-06
1980-11-04 11:04:03.500,2.293e-07,5.122e-06
1980-11-04 11:04:06.500,2.095e-07,5.194e-06
1980-11-04 11:04:09.500,2.134e-07,5.266e-06
1980-11-04 11:04:12.500,2.174e-07,5.375e-06
1980-11-04 11:04:15.500,2.332e-07,5.447e-06
1980-11-04 11:04:18.500,2.451e-07,5.555e-06
1980-11-04 11:04:21.500,2.609e-07,5.627e-06
1980-11-04 11:04:24.500,2.727e-07,5.699e-06
1980-11-04 11:04:27.500,2.885e-07,5.843e-06
1980-11-04 11:04:30.500,3.044e-07,5.916e-06
1980-11-04 11:04:33.500,3.202e-07,5.988e-06
1980-11-04 11:04:36.500,3.281e-07,6.06e-06
1980-11-04 11:04:39.500,3.478e-07,6.132e-06
1980-11-04 11:04:42.500,3.557e-07,6.204e-06
1980-11-04 11:04:46.500,3.716e-07,6.312e-06
1980-11-04 11:04:49.500,3.913e-07,6.385e-06
1980-11-04 11:04:52.500,3.992e-07,6.457e-06
1980-11-04 11:04:55.500,4.15e-07,6.565e-06
1980-11-04 11:04:58.500,4.388e-07,6.745e-06
1980-11-04 11:05:01.500,4.625e-07,6.853e-06
1980-11-04 11:05:04.500,4.902e-07,6.998e-06
1980-11-04 11:05:07.500,5.099e-07,7.106e-06
1980-11-04 11:05:10.500,5.376e-07,7.25e-06
1980-11-04 11:05:13.500,5.771e-07,7.431e-06
1980-11-04 11:05:16.500,6.127e-07,7.647e-06
1980-11-04 11:05:19.500,6.562e-07,7.863e-06
1980-11-04 11:05:22.500,6.918e-07,8.08e-06
1980-11-04 11:05:25.500,7.273e-07,8.26e-06
1980-11-04 11:05:28.500,7.708e-07,8.441e-06
1980-11-04 11:05:32.500,8.183e-07,8.621e-06
1980-11-04 11:05:35.500,8.775e-07,8.837e-06
1980-11-04 11:05:38.500,9.21e-07,9.054e-06
1980-11-04 11:05:41.500,9.606e-07,9.198e-06
1980-11-04 11:05:44.500,1e-06,9.342e-06
1980-11-04 11:05:47.500,1.028e-06,9.487e-06
1980-11-04 11:05:50.500,1.055e-06,9.595e-06
1980-11-04 11:05:53.500,1.091e-06,9.739e-06
1980-11-04 11:05:56.500,1.127e-06,9.883e-06
1980-11-04 11:05:59.500,1.158e-06,1.003e-05
1980-11-04 11:06:02.500,1.186e-06,1.014e-05
1980-11-04 11:06:05.500,1.206e-06,1.024e-05
1980-11-04 11:06:08.500,1.221e-06,1.032e-05
1980-11-04 11:06:11.500,1.237e-06,1.042e-05
1980-11-04 11:06:14.500,1.257e-06,1.053e-05
1980-11-04 11:06:17.500,1.277e-06,1.064e-05
1980-11-04 11:06:21.500,1.297e-06,1.075e-05
1980-11-04 11:06:24.500,1.308e-06,1.086e-05
1980-11-04 11:06:27.500,1.324e-06,1.093e-05
1980-11-04 11:06:30.500,1.34e-06,1.1e-05
1980-11-04 11:06:33.500,1.36e-06,1.118e-05
1980-11-04 11:06:36.500,1.387e-06,1.125e-05
1980-11-04 11:06:39.500,1.407e-06,1.136e-05
1980-11-04 11:06:42.500,1.411e-06,1.143e-05
1980-11-04 11:06:45.500,1.423e-06,1.151e-05
1980-11-04 11:06:48.500,1.427e-06,1.154e-05
1980-11-04 11:06:51.500,1.423e-06,1.158e-05
1980-11-04 11:06:54.500,1.423e-06,1.161e-05
1980-11-04 11:06:57.500,1.427e-06,1.169e-05
1980-11-04 11:07:00.500,1.427e-06,1.172e-05
1980-11-04 11:07:03.500,1.427e-06,1.18e-05
1980-11-04 11:07:07.500,1.431e-06,1.183e-05
1980-11-04 11:07:10.500,1.431e-06,1.187e-05
1980-11-04 11:07:13.500,1.435e-06,1.19e-05
1980-11-04 11:07:16.500,1.443e-06,1.194e-05
1980-11-04 11:07:19.500,1.435e-06,1.198e-05
1980-11-04 11:07:22.500,1.435e-06,1.198e-05
1980-11-04 11:07:25.500,1.443e-06,1.201e-05
1980-11-04 11:07:28.500,1.439e-06,1.205e-05
1980-11-04 11:07:31.500,1.443e-06,1.201e-05
1980-11-04 11:07:34.500,1.435e-06,1.208e-05
1980-11-04 11:07:37.500,1.431e-06,1.208e-05
1980-11-04 11:07:40.500,1.431e-06,1.208e-05
1980-11-04 11:07:43.500,1.431e-06,1.208e-05
1980-11-04 11:07:46.500,1.427e-06,1.208e-05
1980-11-04 11:07:49.500,1.423e-06,1.208e-05
1980-11-04 11:07:52.500,1.415e-06,1.208e-05
1980-11-04 11:07:56.500,1.399e-06,1.208e-05
1980-11-04 11:07:59.500,1.38e-06,1.205e-05
1980-11-04 11:08:02.500,1.368e-06,1.198e-05
1980-11-04 11:08:05.500,1.352e-06,1.198e-05
1980-11-04 11:08:08.500,1.336e-06,1.194e-05
1980-11-04 11:08:11.500,1.32e-06,1.19e-05
1980-11-04 11:08:14.500,1.316e-06,1.19e-05
1980-11-04 11:08:17.500,1.308e-06,1.19e-05
1980-11-04 11:08:20.500,1.304e-06,1.187e-05
1980-11-04 11:08:23.500,1.289e-06,1.183e-05
1980-11-04 11:08:26.500,1.273e-06,1.18e-05
1980-11-04 11:08:29.500,1.261e-06,1.176e-05
1980-11-04 11:08:32.500,1.241e-06,1.169e-05
1980-11-04 11:08:35.500,1.233e-06,1.169e-05
1980-11-04 11:08:38.500,1.21e-06,1.165e-05
1980-11-04 11:08:41.500,1.202e-06,1.161e-05
1980-11-04 11:08:45.500,1.194e-06,1.158e-05
1980-11-04 11:08:48.500,1.182e-06,1.154e-05
1980-11-04 11:08:51.500,1.17e-06,1.151e-05
1980-11-04 11:08:54.500,1.166e-06,1.151e-05
1980-11-04 11:08:57.500,1.162e-06,1.147e-05
1980-11-04 11:09:00.500,1.158e-06,1.143e-05
1980-11-04 11:09:03.500,1.15e-06,1.14e-05
1980-11-04 11:09:06.500,1.138e-06,1.136e-05
1980-11-04 11:09:09.500,1.127e-06,1.133e-05
1980-11-04 11:09:12.500,1.131e-06,1.129e-05
1980-11-04 11:09:15.500,1.123e-06,1.129e-05
1980-11-04 11:09:18.500,1.115e-06,1.122e-05
1980-11-04 11:09:21.500,1.107e-06,1.118e-05
1980-11-04 11:09:24.500,1.099e-06,1.115e-05
1980-11-04 11:09:27.500,1.091e-06,1.111e-05
1980-11-04 11:09:31.500,1.087e-06,1.107e-05
1980-11-04 11:09:34.500,1.071e-06,1.107e-05
1980-11-04 11:09:37.500,1.063e-06,1.1e-05
1980-11-04 11:09:40.500,1.044e-06,1.097e-05
1980-11-04 11:09:43.500,1.044e-06,1.089e-05
1980-11-04 11:09:46.500,1.028e-06,1.089e-05
1980-11-04 11:09:49.500,1.028e-06,1.086e-05
1980-11-04 11:09:52.500,1.024e-06,1.082e-05
1980-11-04 11:09:55.500,1.008e-06,1.079e-05
1980-11-04 11:09:58.500,1e-06,1.075e-05
1980-11-04 11:10:01.500,9.961e-07,1.075e-05
1980-11-04 11:10:04.500,9.882e-07,1.071e-05
1980-11-04 11:10:07.500,9.803e-07,1.068e-05
1980-11-04 11:10:10.500,9.606e-07,1.06e-05
1980-11-04 11:10:13.500,9.566e-07,1.057e-05
1980-11-04 11:10:16.500,9.408e-07,1.053e-05
1980-11-04 11:10:20.500,9.368e-07,1.05e-05
1980-11-04 11:10:23.500,9.289e-07,1.046e-05
1980-11-04 11:10:26.500,9.21e-07,1.042e-05
1980-11-04 11:10:29.500,9.171e-07,1.039e-05
1980-11-04 11:10:32.500,9.092e-07,1.035e-05
1980-11-04 11:10:35.500,9.013e-07,1.032e-05
1980-11-04 11:10:38.500,8.894e-07,1.028e-05
1980-11-04 11:10:41.500,8.657e-07,1.021e-05
1980-11-04 11:10:44.500,8.696e-07,1.017e-05
1980-11-04 11:10:47.500,8.578e-07,1.014e-05
1980-11-04 11:10:50.500,8.538e-07,1.01e-05
1980-11-04 11:10:53.500,8.459e-07,1.006e-05
1980-11-04 11:10:56.500,8.341e-07,1.006e-05
1980-11-04 11:10:59.500,8.262e-07,9.992e-06
1980-11-04 11:11:02.500,8.183e-07,9.955e-06
1980-11-04 11:11:05.500,8.183e-07,9.919e-06
1980-11-04 11:11:09.500,8.064e-07,9.883e-06
1980-11-04 11:11:12.500,7.945e-07,9.811e-06
1980-11-04 11:11:15.500,7.945e-07,9.811e-06
1980-11-04 11:11:18.500,7.866e-07,9.739e-06
1980-11-04 11:11:21.500,7.787e-07,9.739e-06
1980-11-04 11:11:24.500,7.748e-07,9.703e-06
1980-11-04 11:11:27.500,7.669e-07,9.667e-06
1980-11-04 11:11:30.500,7.59e-07,9.595e-06
1980-11-04 11:11:33.500,7.431e-07,9.595e-06
1980-11-04 11:11:36.500,7.431e-07,9.523e-06
1980-11-04 11:11:39.500,7.313e-07,9.487e-06
1980-11-04 11:11:42.500,7.194e-07,9.45e-06
1980-11-04 11:11:45.500,7.194e-07,9.414e-06
1980-11-04 11:11:48.500,7.076e-07,9.378e-06
1980-11-04 11:11:51.500,7.036e-07,9.342e-06
1980-11-04 11:11:55.500,6.997e-07,9.306e-06
1980-11-04 11:11:58.500,6.878e-07,9.234e-06
1980-11-04 11:12:01.500,6.838e-07,9.198e-06
1980-11-04 11:12:04.500,6.759e-07,9.198e-06
1980-11-04 11:12:07.500,6.68e-07,9.162e-06
1980-11-04 11:12:10.500,6.601e-07,9.126e-06
1980-11-04 11:12:13.500,6.522e-07,9.054e-06
1980-11-04 11:12:16.500,6.443e-07,9.018e-06
1980-11-04 11:12:19.500,6.404e-07,8.982e-06
