,xrsa,xrsb
2015-10-31 12:57:00.671999,4.9454e-09,8.6813e-07
2015-10-31 12:57:02.718999,4.9454e-09,8.6813e-07
2015-10-31 12:57:04.768999,4.9454e-09,8.6813e-07
2015-10-31 12:57:06.814999,4.9454e-09,8.7338e-07
2015-10-31 12:57:08.861999,4.9454e-09,8.7075e-07
2015-10-31 12:57:10.911999,3.831e-09,8.7338e-07
2015-10-31 12:57:12.958999,3.831e-09,8.76e-07
2015-10-31 12:57:15.008999,4.9454e-09,8.7075e-07
2015-10-31 12:57:17.054999,4.9454e-09,8.7338e-07
2015-10-31 12:57:19.101999,4.9454e-09,8.7862e-07
2015-10-31 12:57:21.151999,6.0599e-09,8.8125e-07
2015-10-31 12:57:23.198999,6.0599e-09,8.8125e-07
2015-10-31 12:57:25.248999,7.1743e-09,8.8387e-07
2015-10-31 12:57:27.294999,7.1743e-09,8.8912e-07
2015-10-31 12:57:29.342000,7.1743e-09,8.8649e-07
2015-10-31 12:57:31.391999,6.0599e-09,8.8912e-07
2015-10-31 12:57:33.438999,7.1743e-09,8.9174e-07
2015-10-31 12:57:35.488999,6.0599e-09,8.9436e-07
2015-10-31 12:57:37.534999,7.1743e-09,8.9436e-07
2015-10-31 12:57:39.582000,7.1743e-09,8.9961e-07
2015-10-31 12:57:41.631999,7.1743e-09,9.0223e-07
2015-10-31 12:57:43.678999,7.1743e-09,8.9961e-07
2015-10-31 12:57:45.728999,7.1743e-09,9.0223e-07
2015-10-31 12:57:47.774999,7.1743e-09,9.0223e-07
2015-10-31 12:57:49.821999,8.2888e-09,9.0748e-07
2015-10-31 12:57:51.871999,7.1743e-09,9.101e-07
2015-10-31 12:57:53.918999,8.2888e-09,9.101e-07
2015-10-31 12:57:55.968999,9.4033e-09,9.1273e-07
2015-10-31 12:57:58.014999,8.2888e-09,9.1535e-07
2015-10-31 12:58:00.061999,1.0518e-08,9.1797e-07
2015-10-31 12:58:02.108999,9.4033e-09,9.1797e-07
2015-10-31 12:58:04.158999,9.4033e-09,9.3109e-07
2015-10-31 12:58:06.204999,1.0518e-08,9.3109e-07
2015-10-31 12:58:08.254999,1.0518e-08,9.3896e-07
2015-10-31 12:58:10.301999,1.0518e-08,9.4158e-07
2015-10-31 12:58:12.348999,1.0518e-08,9.442e-07
2015-10-31 12:58:14.398999,1.1632e-08,9.4683e-07
2015-10-31 12:58:16.444999,1.4976e-08,9.5208e-07
2015-10-31 12:58:18.494999,1.609e-08,9.547e-07
2015-10-31 12:58:20.541999,1.609e-08,9.5732e-07
2015-10-31 12:58:22.588999,1.7204e-08,9.5994e-07
2015-10-31 12:58:24.638999,1.7204e-08,9.6519e-07
2015-10-31 12:58:26.684999,1.8319e-08,9.7044e-07
2015-10-31 12:58:28.734999,1.9433e-08,9.7568e-07
2015-10-31 12:58:30.781999,1.9433e-08,9.8093e-07
2015-10-31 12:58:32.828999,1.9433e-08,9.8093e-07
2015-10-31 12:58:34.878999,1.9433e-08,9.8618e-07
2015-10-31 12:58:36.924999,1.9433e-08,9.9142e-07
2015-10-31 12:58:38.974999,2.1662e-08,9.9405e-07
2015-10-31 12:58:41.021999,2.0548e-08,9.9667e-07
2015-10-31 12:58:43.069000,2.1662e-08,1.0045e-06
2015-10-31 12:58:45.118999,2.1662e-08,1.0072e-06
2015-10-31 12:58:47.164999,2.0548e-08,1.0124e-06
2015-10-31 12:58:49.214999,2.0548e-08,1.0177e-06
2015-10-31 12:58:51.261999,2.0548e-08,1.0229e-06
2015-10-31 12:58:53.309000,2.0548e-08,1.0229e-06
2015-10-31 12:58:55.358999,2.0548e-08,1.0282e-06
2015-10-31 12:58:57.404999,2.1662e-08,1.0308e-06
2015-10-31 12:58:59.454999,2.2777e-08,1.0334e-06
2015-10-31 12:59:01.501999,2.1662e-08,1.0386e-06
2015-10-31 12:59:03.548999,2.3891e-08,1.0439e-06
2015-10-31 12:59:05.598999,2.3891e-08,1.0491e-06
2015-10-31 12:59:07.644999,2.3891e-08,1.0544e-06
2015-10-31 12:59:09.691999,2.5006e-08,1.0622e-06
2015-10-31 12:59:11.741999,2.5006e-08,1.0622e-06
2015-10-31 12:59:13.788999,2.612e-08,1.0675e-06
2015-10-31 12:59:15.838999,2.612e-08,1.078e-06
2015-10-31 12:59:17.884999,2.7235e-08,1.0806e-06
2015-10-31 12:59:19.931999,2.8349e-08,1.0859e-06
2015-10-31 12:59:21.981999,2.8349e-08,1.0911e-06
2015-10-31 12:59:24.028999,2.9464e-08,1.0964e-06
2015-10-31 12:59:26.078999,3.0578e-08,1.1016e-06
2015-10-31 12:59:28.125000,3.0578e-08,1.1042e-06
2015-10-31 12:59:30.171999,3.1692e-08,1.1121e-06
2015-10-31 12:59:32.221999,3.2807e-08,1.1147e-06
2015-10-31 12:59:34.268999,3.615e-08,1.1226e-06
2015-10-31 12:59:36.319000,3.5036e-08,1.1278e-06
