,xrsa,xrsb
2011-02-19 16:39:00.478999,7.0699e-08,1.4741e-06
2011-02-19 16:39:02.528999,6.9584e-08,1.4636e-06
2011-02-19 16:39:04.574999,7.0699e-08,1.4531e-06
2011-02-19 16:39:06.624999,6.9584e-08,1.4426e-06
2011-02-19 16:39:08.671999,6.847e-08,1.4321e-06
2011-02-19 16:39:10.718999,6.847e-08,1.4243e-06
2011-02-19 16:39:12.768999,6.847e-08,1.4164e-06
2011-02-19 16:39:14.814999,6.6241e-08,1.4111e-06
2011-02-19 16:39:16.864999,7.0699e-08,1.398e-06
2011-02-19 16:39:18.911999,6.847e-08,1.3902e-06
2011-02-19 16:39:20.958999,6.847e-08,1.377e-06
2011-02-19 16:39:23.008999,6.5126e-08,1.3718e-06
2011-02-19 16:39:25.054999,6.5126e-08,1.3666e-06
2011-02-19 16:39:27.104999,6.5126e-08,1.3639e-06
2011-02-19 16:39:29.151999,6.4012e-08,1.3639e-06
2011-02-19 16:39:31.198999,6.4012e-08,1.3639e-06
2011-02-19 16:39:33.248999,6.6241e-08,1.3613e-06
2011-02-19 16:39:35.294999,6.6241e-08,1.3613e-06
2011-02-19 16:39:37.344999,6.847e-08,1.3666e-06
2011-02-19 16:39:39.391999,7.4042e-08,1.3744e-06
2011-02-19 16:39:41.438999,7.6271e-08,1.3797e-06
2011-02-19 16:39:43.488999,8.0729e-08,1.3954e-06
2011-02-19 16:39:45.534999,8.9645e-08,1.4138e-06
2011-02-19 16:39:47.584999,8.7416e-08,1.4269e-06
2011-02-19 16:39:49.631999,9.1873e-08,1.4452e-06
2011-02-19 16:39:51.678999,9.856e-08,1.4584e-06
2011-02-19 16:39:53.728999,1.0413e-07,1.4767e-06
2011-02-19 16:39:55.774999,1.0525e-07,1.4846e-06
2011-02-19 16:39:57.821999,1.0748e-07,1.4872e-06
2011-02-19 16:39:59.871999,1.0859e-07,1.4898e-06
2011-02-19 16:40:01.918999,1.1082e-07,1.4951e-06
2011-02-19 16:40:03.968999,1.1082e-07,1.5056e-06
2011-02-19 16:40:06.014999,1.1305e-07,1.5134e-06
2011-02-19 16:40:08.061999,1.1751e-07,1.5161e-06
2011-02-19 16:40:10.111999,1.1862e-07,1.5239e-06
2011-02-19 16:40:12.158999,1.1416e-07,1.5187e-06
2011-02-19 16:40:14.208999,1.1639e-07,1.5239e-06
2011-02-19 16:40:16.254999,1.1416e-07,1.5318e-06
2011-02-19 16:40:18.301999,1.1193e-07,1.5239e-06
2011-02-19 16:40:20.351999,1.097e-07,1.5161e-06
2011-02-19 16:40:22.398999,1.0859e-07,1.5108e-06
2011-02-19 16:40:24.448999,1.0413e-07,1.5056e-06
2011-02-19 16:40:26.494999,1.0413e-07,1.503e-06
2011-02-19 16:40:28.541999,1.0413e-07,1.5056e-06
2011-02-19 16:40:30.591999,1.0525e-07,1.5134e-06
2011-02-19 16:40:32.638999,1.0636e-07,1.5161e-06
2011-02-19 16:40:34.688999,1.097e-07,1.5239e-06
2011-02-19 16:40:36.734999,1.0859e-07,1.5239e-06
2011-02-19 16:40:38.781999,1.1193e-07,1.5318e-06
2011-02-19 16:40:40.831999,1.1416e-07,1.5423e-06
2011-02-19 16:40:42.878999,1.1528e-07,1.5607e-06
2011-02-19 16:40:44.928999,1.2308e-07,1.5816e-06
2011-02-19 16:40:46.974999,1.3199e-07,1.6e-06
2011-02-19 16:40:49.021999,1.3757e-07,1.6289e-06
2011-02-19 16:40:51.071999,1.4202e-07,1.642e-06
2011-02-19 16:40:53.118999,1.476e-07,1.6551e-06
2011-02-19 16:40:55.168999,1.4983e-07,1.6656e-06
2011-02-19 16:40:57.214999,1.5094e-07,1.6708e-06
2011-02-19 16:40:59.261999,1.4983e-07,1.663e-06
2011-02-19 16:41:01.311999,1.4537e-07,1.663e-06
2011-02-19 16:41:03.358999,1.4314e-07,1.6603e-06
2011-02-19 16:41:05.408999,1.4202e-07,1.6603e-06
2011-02-19 16:41:07.454999,1.4314e-07,1.663e-06
2011-02-19 16:41:09.501999,1.4202e-07,1.663e-06
2011-02-19 16:41:11.551999,1.4091e-07,1.6525e-06
2011-02-19 16:41:13.598999,1.3534e-07,1.6499e-06
2011-02-19 16:41:15.648999,1.3534e-07,1.6446e-06
2011-02-19 16:41:17.694999,1.3311e-07,1.6289e-06
2011-02-19 16:41:19.741999,1.2642e-07,1.6158e-06
2011-02-19 16:41:21.791999,1.2085e-07,1.5948e-06
2011-02-19 16:41:23.838999,1.1751e-07,1.579e-06
2011-02-19 16:41:25.888999,1.1528e-07,1.5659e-06
2011-02-19 16:41:27.934999,1.0859e-07,1.5475e-06
2011-02-19 16:41:29.981999,1.0413e-07,1.5344e-06
2011-02-19 16:41:32.028999,1.0079e-07,1.5213e-06
2011-02-19 16:41:34.078999,9.6331e-08,1.5056e-06
2011-02-19 16:41:36.124999,9.4102e-08,1.4925e-06
2011-02-19 16:41:38.174999,8.9645e-08,1.4793e-06
2011-02-19 16:41:40.221999,8.6301e-08,1.4662e-06
2011-02-19 16:41:42.268999,8.6301e-08,1.4688e-06
2011-02-19 16:41:44.318999,8.6301e-08,1.4793e-06
2011-02-19 16:41:46.364999,9.0759e-08,1.4977e-06
2011-02-19 16:41:48.414999,9.6331e-08,1.5292e-06
2011-02-19 16:41:50.461999,1.0525e-07,1.5659e-06
2011-02-19 16:41:52.508999,1.1639e-07,1.5974e-06
2011-02-19 16:41:54.558999,1.2976e-07,1.6367e-06
2011-02-19 16:41:56.604999,1.4202e-07,1.6551e-06
2011-02-19 16:41:58.654999,1.5428e-07,1.684e-06
2011-02-19 16:42:00.701999,1.6208e-07,1.7128e-06
2011-02-19 16:42:02.748999,1.6877e-07,1.7364e-06
2011-02-19 16:42:04.798999,1.788e-07,1.7679e-06
2011-02-19 16:42:06.844999,1.8772e-07,1.7968e-06
2011-02-19 16:42:08.894999,1.9106e-07,1.8256e-06
2011-02-19 16:42:10.941999,1.9998e-07,1.8597e-06
2011-02-19 16:42:12.988999,2.1558e-07,1.9279e-06
2011-02-19 16:42:15.038999,2.2784e-07,1.9856e-06
2011-02-19 16:42:17.084999,2.3787e-07,2.0119e-06
2011-02-19 16:42:19.134999,2.5347e-07,2.0643e-06
2011-02-19 16:42:21.181999,2.7353e-07,2.122e-06
2011-02-19 16:42:23.228999,2.9916e-07,2.2034e-06
2011-02-19 16:42:25.278999,3.1588e-07,2.2558e-06
2011-02-19 16:42:27.324999,3.4486e-07,2.3293e-06
2011-02-19 16:42:29.374999,3.8163e-07,2.4526e-06
2011-02-19 16:42:31.421999,4.2398e-07,2.5628e-06
2011-02-19 16:42:33.468999,4.6856e-07,2.6624e-06
2011-02-19 16:42:35.518999,5.2094e-07,2.8067e-06
2011-02-19 16:42:37.564999,5.7889e-07,2.9562e-06
2011-02-19 16:42:39.611999,6.413e-07,3.0926e-06
2011-02-19 16:42:41.661999,7.2712e-07,3.3182e-06
2011-02-19 16:42:43.708999,8.1404e-07,3.5884e-06
2011-02-19 16:42:45.758999,9.0877e-07,3.8744e-06
2011-02-19 16:42:47.804999,9.9236e-07,4.0921e-06
