,xrsa,xrsb
1990-09-14 09:54:02.500,8.46e-09,9.98e-07
1990-09-14 09:54:05.500,8.77e-09,9.95e-07
1990-09-14 09:54:08.500,8.77e-09,9.95e-07
1990-09-14 09:54:11.500,7.52e-09,9.98e-07
1990-09-14 09:54:14.500,7.83e-09,1e-06
1990-09-14 09:54:17.500,8.46e-09,1e-06
1990-09-14 09:54:20.500,8.77e-09,1e-06
1990-09-14 09:54:23.500,9.08e-09,1e-06
1990-09-14 09:54:26.500,8.77e-09,1e-06
1990-09-14 09:54:29.500,8.14e-09,1e-06
1990-09-14 09:54:32.500,8.77e-09,1.01e-06
1990-09-14 09:54:35.500,9.4e-09,1.01e-06
1990-09-14 09:54:38.500,1e-08,1.01e-06
1990-09-14 09:54:41.500,9.4e-09,1.01e-06
1990-09-14 09:54:44.500,9.08e-09,1.01e-06
1990-09-14 09:54:47.500,1.07e-08,1.01e-06
1990-09-14 09:54:51.500,1e-08,1.01e-06
1990-09-14 09:54:54.500,9.4e-09,1.01e-06
1990-09-14 09:54:57.500,9.71e-09,1.01e-06
1990-09-14 09:55:00.500,8.14e-09,1.01e-06
1990-09-14 09:55:03.500,8.46e-09,1.02e-06
1990-09-14 09:55:06.500,1.1e-08,1.02e-06
1990-09-14 09:55:09.500,1.07e-08,1.02e-06
1990-09-14 09:55:12.500,1.03e-08,1.02e-06
1990-09-14 09:55:15.500,9.4e-09,1.03e-06
1990-09-14 09:55:18.500,1.03e-08,1.04e-06
1990-09-14 09:55:21.500,1.07e-08,1.03e-06
1990-09-14 09:55:24.500,1.16e-08,1.04e-06
1990-09-14 09:55:27.500,1.41e-08,1.05e-06
1990-09-14 09:55:39.500,1.66e-08,1.1e-06
1990-09-14 09:55:43.500,1.85e-08,1.11e-06
1990-09-14 09:55:46.500,2.13e-08,1.13e-06
1990-09-14 09:55:49.500,2.32e-08,1.15e-06
1990-09-14 09:55:52.500,2.54e-08,1.19e-06
1990-09-14 09:55:55.500,2.76e-08,1.21e-06
1990-09-14 09:55:58.500,3.04e-08,1.23e-06
1990-09-14 09:56:01.500,3.26e-08,1.26e-06
1990-09-14 09:56:04.500,3.45e-08,1.3e-06
1990-09-14 09:56:07.500,3.57e-08,1.33e-06
1990-09-14 09:56:10.500,3.7e-08,1.34e-06
1990-09-14 09:56:13.500,3.82e-08,1.36e-06
1990-09-14 09:56:16.500,3.98e-08,1.38e-06
1990-09-14 09:56:19.500,4.04e-08,1.39e-06
1990-09-14 09:56:22.500,4.2e-08,5.59e-06
1990-09-14 09:56:25.500,4.73e-08,3.09e-06
1990-09-14 09:56:28.500,4.86e-08,2.1e-06
1990-09-14 09:56:31.500,5.11e-08,1.73e-06
1990-09-14 09:56:35.500,5.36e-08,1.56e-06
1990-09-14 09:56:37.500,5.33e-08,1.53e-06
1990-09-14 09:56:41.500,5.55e-08,1.49e-06
1990-09-14 09:56:44.500,5.51e-08,1.49e-06
1990-09-14 09:56:47.500,5.61e-08,1.49e-06
1990-09-14 09:56:50.500,5.55e-08,1.53e-06
1990-09-14 09:56:53.500,5.64e-08,1.53e-06
1990-09-14 09:56:56.500,5.7e-08,1.53e-06
1990-09-14 09:56:59.500,5.98e-08,1.53e-06
1990-09-14 09:57:02.500,6.14e-08,1.56e-06
1990-09-14 09:57:05.500,6.11e-08,1.56e-06
1990-09-14 09:57:08.500,6.23e-08,1.6e-06
1990-09-14 09:57:11.500,6.17e-08,1.6e-06
1990-09-14 09:57:14.500,6.42e-08,1.6e-06
