,xrsa,xrsb
2012-08-03 21:20:01.761999,1.602e-09,6.163e-07
2012-08-03 21:20:03.808999,2.7165e-09,6.163e-07
2012-08-03 21:20:05.858999,1.602e-09,6.163e-07
2012-08-03 21:20:07.904999,1.602e-09,6.1368e-07
2012-08-03 21:20:09.951999,1.602e-09,6.163e-07
2012-08-03 21:20:12.001999,1.602e-09,6.163e-07
2012-08-03 21:20:14.048999,2.7165e-09,6.163e-07
2012-08-03 21:20:16.098999,2.7165e-09,6.163e-07
2012-08-03 21:20:18.144999,2.7165e-09,6.1892e-07
2012-08-03 21:20:20.191999,2.7165e-09,6.1892e-07
2012-08-03 21:20:22.241999,1.602e-09,6.1892e-07
2012-08-03 21:20:24.288999,2.7165e-09,6.1892e-07
2012-08-03 21:20:26.338999,2.7165e-09,6.1892e-07
2012-08-03 21:20:28.384999,1.602e-09,6.1892e-07
2012-08-03 21:20:30.431999,2.7165e-09,6.163e-07
2012-08-03 21:20:32.481999,4.9454e-09,6.2417e-07
2012-08-03 21:20:34.528999,4.9454e-09,6.1892e-07
2012-08-03 21:20:36.578999,4.9454e-09,6.1892e-07
2012-08-03 21:20:38.624999,6.0599e-09,6.2154e-07
2012-08-03 21:20:40.671999,6.0599e-09,6.2417e-07
2012-08-03 21:20:42.721999,6.0599e-09,6.2417e-07
2012-08-03 21:20:44.768999,9.4033e-09,6.2679e-07
2012-08-03 21:20:46.818999,3.831e-09,6.2941e-07
2012-08-03 21:20:48.864999,3.831e-09,6.2941e-07
2012-08-03 21:20:50.911999,4.9454e-09,6.3204e-07
2012-08-03 21:20:52.961999,4.9454e-09,6.2941e-07
2012-08-03 21:20:55.008999,4.9454e-09,6.3729e-07
2012-08-03 21:20:57.058999,4.9454e-09,6.3729e-07
2012-08-03 21:20:59.104999,6.0599e-09,6.3729e-07
2012-08-03 21:21:01.151999,6.0599e-09,6.3729e-07
2012-08-03 21:21:03.201999,4.9454e-09,6.3991e-07
2012-08-03 21:21:05.248999,6.0599e-09,6.3991e-07
2012-08-03 21:21:07.298999,6.0599e-09,6.4253e-07
2012-08-03 21:21:09.344999,4.9454e-09,6.4515e-07
2012-08-03 21:21:11.391999,3.831e-09,6.504e-07
2012-08-03 21:21:13.441999,4.9454e-09,6.5302e-07
2012-08-03 21:21:15.488999,3.831e-09,6.5565e-07
2012-08-03 21:21:17.538999,6.0599e-09,6.5565e-07
2012-08-03 21:21:19.584999,3.831e-09,6.5827e-07
2012-08-03 21:21:21.631999,4.9454e-09,6.5565e-07
2012-08-03 21:21:23.681999,4.9454e-09,6.5827e-07
2012-08-03 21:21:25.728999,4.9454e-09,6.5302e-07
2012-08-03 21:21:27.778999,4.9454e-09,6.5827e-07
2012-08-03 21:21:29.824999,6.0599e-09,6.5827e-07
2012-08-03 21:21:31.871999,4.9454e-09,6.5827e-07
2012-08-03 21:21:33.918999,4.9454e-09,6.6089e-07
2012-08-03 21:21:35.968999,6.0599e-09,6.7139e-07
2012-08-03 21:21:38.014999,7.1743e-09,6.7139e-07
2012-08-03 21:21:40.064999,7.1743e-09,6.7926e-07
2012-08-03 21:21:42.111999,7.1743e-09,6.8188e-07
2012-08-03 21:21:44.158999,7.1743e-09,6.8975e-07
2012-08-03 21:21:46.208999,1.0518e-08,7.1074e-07
2012-08-03 21:21:48.254999,1.1632e-08,7.291e-07
2012-08-03 21:21:50.304999,1.1632e-08,7.3697e-07
2012-08-03 21:21:52.351999,1.2747e-08,7.4222e-07
2012-08-03 21:21:54.398999,1.2747e-08,7.4484e-07
2012-08-03 21:21:56.448999,1.3861e-08,7.5533e-07
2012-08-03 21:21:58.494999,1.3861e-08,7.632e-07
2012-08-03 21:22:00.544999,1.609e-08,7.6845e-07
2012-08-03 21:22:02.591999,1.4976e-08,7.7369e-07
2012-08-03 21:22:04.638999,1.4976e-08,7.7894e-07
2012-08-03 21:22:06.688999,1.7204e-08,7.8681e-07
2012-08-03 21:22:08.734999,1.7204e-08,7.9468e-07
2012-08-03 21:22:10.784999,1.9433e-08,8.0255e-07
2012-08-03 21:22:12.831999,1.8319e-08,8.0517e-07
2012-08-03 21:22:14.878999,2.0548e-08,8.1567e-07
2012-08-03 21:22:16.928999,1.9433e-08,8.1829e-07
2012-08-03 21:22:18.974999,2.0548e-08,8.2091e-07
2012-08-03 21:22:21.024999,2.0548e-08,8.2878e-07
2012-08-03 21:22:23.071999,2.1662e-08,8.3403e-07
2012-08-03 21:22:25.118999,2.2777e-08,8.419e-07
2012-08-03 21:22:27.168999,2.3891e-08,8.4977e-07
2012-08-03 21:22:29.214999,2.2777e-08,8.5501e-07
2012-08-03 21:22:31.264999,2.3891e-08,8.5764e-07
2012-08-03 21:22:33.311999,2.5006e-08,8.6288e-07
2012-08-03 21:22:35.358999,2.3891e-08,8.6551e-07
2012-08-03 21:22:37.408999,2.5006e-08,8.76e-07
2012-08-03 21:22:39.454999,2.612e-08,8.8387e-07
2012-08-03 21:22:41.504999,2.612e-08,8.8649e-07
2012-08-03 21:22:43.551999,2.612e-08,8.9699e-07
2012-08-03 21:22:45.598999,2.8349e-08,9.0486e-07
2012-08-03 21:22:47.648999,3.1692e-08,9.2584e-07
2012-08-03 21:22:49.694999,3.3921e-08,9.3896e-07
2012-08-03 21:22:51.744999,3.615e-08,9.4945e-07
2012-08-03 21:22:53.791999,3.5036e-08,9.6257e-07
2012-08-03 21:22:55.838999,3.615e-08,9.6781e-07
2012-08-03 21:22:57.888999,3.615e-08,9.7568e-07
2012-08-03 21:22:59.934999,4.0608e-08,9.7568e-07
2012-08-03 21:23:01.984999,4.0608e-08,9.8093e-07
