,xrsa,xrsb
1992-09-16 20:00:06.500,9.71e-09,6.61e-07
1992-09-16 20:00:09.500,1.03e-08,6.58e-07
1992-09-16 20:00:12.500,8.77e-09,6.61e-07
1992-09-16 20:00:15.500,9.4e-09,6.64e-07
1992-09-16 20:00:18.500,9.4e-09,6.71e-07
1992-09-16 20:00:22.500,9.08e-09,6.71e-07
1992-09-16 20:00:25.500,9.71e-09,6.68e-07
1992-09-16 20:00:28.500,1.1e-08,6.71e-07
1992-09-16 20:00:31.500,1.07e-08,6.71e-07
1992-09-16 20:00:34.500,1.1e-08,6.71e-07
1992-09-16 20:00:37.500,1.16e-08,6.74e-07
1992-09-16 20:00:40.500,1.28e-08,6.74e-07
1992-09-16 20:00:43.500,1.38e-08,6.77e-07
1992-09-16 20:00:46.500,1.38e-08,6.87e-07
1992-09-16 20:00:49.500,1.35e-08,6.97e-07
1992-09-16 20:00:52.500,1.5e-08,6.97e-07
1992-09-16 20:00:55.500,1.57e-08,7.03e-07
1992-09-16 20:00:58.500,1.6e-08,7.07e-07
1992-09-16 20:01:01.500,1.5e-08,7.13e-07
1992-09-16 20:01:04.500,1.75e-08,7.13e-07
1992-09-16 20:01:07.500,1.85e-08,7.23e-07
1992-09-16 20:01:10.500,2.04e-08,7.36e-07
1992-09-16 20:01:13.500,2.16e-08,7.42e-07
1992-09-16 20:01:17.500,2.19e-08,7.52e-07
1992-09-16 20:01:20.500,2.1e-08,7.65e-07
1992-09-16 20:01:23.500,2.57e-08,7.75e-07
1992-09-16 20:01:26.500,2.66e-08,7.91e-07
1992-09-16 20:01:28.500,2.82e-08,7.97e-07
1992-09-16 20:01:32.500,2.82e-08,8.1e-07
1992-09-16 20:01:35.500,2.91e-08,8.23e-07
1992-09-16 20:01:38.500,3.04e-08,8.3e-07
1992-09-16 20:01:41.500,3.07e-08,8.39e-07
1992-09-16 20:01:44.500,3.45e-08,8.46e-07
1992-09-16 20:01:47.500,3.54e-08,8.59e-07
1992-09-16 20:01:50.500,3.63e-08,8.75e-07
1992-09-16 20:01:53.500,3.76e-08,8.81e-07
1992-09-16 20:01:56.500,3.92e-08,8.91e-07
1992-09-16 20:01:59.500,3.95e-08,8.98e-07
1992-09-16 20:02:03.500,3.95e-08,9.04e-07
1992-09-16 20:02:06.500,3.98e-08,9.11e-07
1992-09-16 20:02:09.500,3.95e-08,9.24e-07
1992-09-16 20:02:12.500,4.07e-08,9.36e-07
1992-09-16 20:02:15.500,4.29e-08,9.46e-07
1992-09-16 20:02:18.500,4.48e-08,9.49e-07
1992-09-16 20:02:21.500,4.64e-08,9.53e-07
1992-09-16 20:02:24.500,4.64e-08,9.66e-07
1992-09-16 20:02:27.500,4.61e-08,9.72e-07
1992-09-16 20:02:30.500,4.7e-08,9.75e-07
