,xrsa,xrsb
1989-09-02 17:02:02.500,4.04e-08,2.17e-06
1989-09-02 17:02:05.500,3.98e-08,2.17e-06
1989-09-02 17:02:08.500,3.92e-08,2.17e-06
1989-09-02 17:02:12.500,3.98e-08,2.17e-06
1989-09-02 17:02:15.500,4.01e-08,2.17e-06
1989-09-02 17:02:18.500,4.14e-08,2.14e-06
1989-09-02 17:02:21.500,4.07e-08,2.17e-06
1989-09-02 17:02:24.500,4.01e-08,2.14e-06
1989-09-02 17:02:27.500,4.07e-08,2.14e-06
1989-09-02 17:02:30.500,4.07e-08,2.17e-06
1989-09-02 17:02:33.500,4.04e-08,2.17e-06
1989-09-02 17:02:36.500,3.95e-08,2.14e-06
1989-09-02 17:02:39.500,3.98e-08,2.14e-06
1989-09-02 17:02:42.500,4.01e-08,2.14e-06
1989-09-02 17:02:45.500,3.95e-08,2.14e-06
1989-09-02 17:02:48.500,3.88e-08,2.14e-06
1989-09-02 17:02:51.500,3.85e-08,2.14e-06
1989-09-02 17:02:54.500,3.95e-08,2.14e-06
1989-09-02 17:02:57.500,3.95e-08,2.14e-06
1989-09-02 17:03:00.500,4.04e-08,2.14e-06
1989-09-02 17:03:04.500,3.98e-08,2.14e-06
1989-09-02 17:03:07.500,4.1e-08,2.14e-06
1989-09-02 17:03:10.500,4.01e-08,2.14e-06
1989-09-02 17:03:13.500,3.88e-08,2.17e-06
1989-09-02 17:03:16.500,3.92e-08,2.14e-06
1989-09-02 17:03:19.500,3.92e-08,2.14e-06
1989-09-02 17:03:22.500,3.98e-08,2.14e-06
1989-09-02 17:03:25.500,4.07e-08,2.14e-06
1989-09-02 17:03:28.500,3.92e-08,2.14e-06
1989-09-02 17:03:31.500,4.01e-08,2.14e-06
1989-09-02 17:03:34.500,3.98e-08,2.14e-06
1989-09-02 17:03:37.500,4.07e-08,2.14e-06
1989-09-02 17:03:40.500,4.04e-08,2.14e-06
1989-09-02 17:03:43.500,3.98e-08,2.14e-06
1989-09-02 17:03:46.500,4.01e-08,2.14e-06
1989-09-02 17:03:49.500,4.04e-08,2.14e-06
1989-09-02 17:03:53.500,4.04e-08,2.14e-06
1989-09-02 17:03:56.500,4.01e-08,2.14e-06
1989-09-02 17:03:59.500,3.95e-08,2.14e-06
1989-09-02 17:04:02.500,3.95e-08,2.14e-06
1989-09-02 17:04:05.500,3.98e-08,2.14e-06
1989-09-02 17:04:08.500,3.88e-08,2.14e-06
1989-09-02 17:04:11.500,3.95e-08,2.14e-06
1989-09-02 17:04:14.500,3.98e-08,2.14e-06
1989-09-02 17:04:17.500,3.98e-08,2.14e-06
1989-09-02 17:04:20.500,3.95e-08,2.14e-06
1989-09-02 17:04:23.500,3.88e-08,2.14e-06
1989-09-02 17:04:26.500,3.85e-08,2.14e-06
1989-09-02 17:04:29.500,3.88e-08,2.14e-06
1989-09-02 17:04:32.500,3.79e-08,2.14e-06
1989-09-02 17:04:35.500,3.82e-08,2.14e-06
1989-09-02 17:04:38.500,3.88e-08,2.1e-06
1989-09-02 17:04:42.500,3.95e-08,2.1e-06
1989-09-02 17:04:45.500,3.98e-08,2.14e-06
1989-09-02 17:04:48.500,3.95e-08,2.1e-06
