,xrsa,xrsb
1990-11-08 02:02:02.500,3.48e-08,1.63e-06
1990-11-08 02:02:05.500,3.41e-08,1.66e-06
1990-11-08 02:02:09.500,3.41e-08,1.66e-06
1990-11-08 02:02:12.500,3.45e-08,1.66e-06
1990-11-08 02:02:15.500,3.48e-08,1.66e-06
1990-11-08 02:02:17.500,3.51e-08,1.66e-06
1990-11-08 02:02:21.500,3.48e-08,1.66e-06
1990-11-08 02:02:24.500,3.48e-08,1.66e-06
1990-11-08 02:02:27.500,3.54e-08,1.66e-06
1990-11-08 02:02:30.500,3.57e-08,1.66e-06
1990-11-08 02:02:33.500,3.6e-08,1.66e-06
1990-11-08 02:02:36.500,3.67e-08,1.7e-06
1990-11-08 02:02:39.500,3.54e-08,1.7e-06
1990-11-08 02:02:42.500,3.6e-08,1.7e-06
1990-11-08 02:02:45.500,3.7e-08,1.7e-06
1990-11-08 02:02:48.500,3.98e-08,1.7e-06
1990-11-08 02:02:51.500,3.95e-08,1.7e-06
1990-11-08 02:02:54.500,3.88e-08,1.73e-06
1990-11-08 02:02:58.500,3.88e-08,1.73e-06
1990-11-08 02:03:00.500,3.85e-08,1.73e-06
1990-11-08 02:03:04.500,4.01e-08,1.73e-06
1990-11-08 02:03:07.500,4.01e-08,1.73e-06
1990-11-08 02:03:10.500,4.07e-08,1.76e-06
1990-11-08 02:03:13.500,4.07e-08,1.76e-06
1990-11-08 02:03:16.500,4.07e-08,1.76e-06
1990-11-08 02:03:19.500,4.1e-08,1.76e-06
1990-11-08 02:03:22.500,4.14e-08,1.76e-06
1990-11-08 02:03:25.500,4.1e-08,1.76e-06
1990-11-08 02:03:28.500,4.2e-08,1.76e-06
1990-11-08 02:03:31.500,4.14e-08,1.8e-06
1990-11-08 02:03:34.500,4.17e-08,1.8e-06
1990-11-08 02:03:37.500,4.23e-08,1.8e-06
1990-11-08 02:03:40.500,4.29e-08,1.8e-06
1990-11-08 02:03:43.500,4.23e-08,1.8e-06
1990-11-08 02:03:46.500,4.23e-08,1.8e-06
1990-11-08 02:03:49.500,4.26e-08,1.8e-06
1990-11-08 02:03:53.500,4.29e-08,1.83e-06
1990-11-08 02:03:55.500,4.39e-08,1.83e-06
1990-11-08 02:03:59.500,4.45e-08,1.83e-06
1990-11-08 02:04:02.500,4.45e-08,1.83e-06
1990-11-08 02:04:05.500,4.45e-08,1.83e-06
1990-11-08 02:04:08.500,4.45e-08,1.83e-06
1990-11-08 02:04:11.500,4.45e-08,1.83e-06
1990-11-08 02:04:14.500,4.39e-08,1.87e-06
1990-11-08 02:04:17.500,4.45e-08,1.87e-06
1990-11-08 02:04:20.500,4.42e-08,1.87e-06
1990-11-08 02:04:23.500,4.48e-08,1.87e-06
1990-11-08 02:04:26.500,4.51e-08,1.87e-06
1990-11-08 02:04:29.500,4.54e-08,1.87e-06
1990-11-08 02:04:32.500,4.54e-08,1.87e-06
1990-11-08 02:04:35.500,4.57e-08,1.87e-06
1990-11-08 02:04:38.500,4.51e-08,1.87e-06
1990-11-08 02:04:42.500,4.57e-08,1.87e-06
1990-11-08 02:04:45.500,4.61e-08,1.87e-06
1990-11-08 02:04:48.500,4.45e-08,1.87e-06
1990-11-08 02:05:00.500,4.35e-08,1.87e-06
1990-11-08 02:05:03.500,4.48e-08,1.9e-06
1990-11-08 02:05:06.500,4.45e-08,1.9e-06
1990-11-08 02:05:09.500,4.35e-08,1.87e-06
1990-11-08 02:05:12.500,4.42e-08,1.9e-06
1990-11-08 02:05:15.500,4.51e-08,1.9e-06
1990-11-08 02:05:18.500,4.45e-08,1.9e-06
1990-11-08 02:05:21.500,4.54e-08,1.9e-06
1990-11-08 02:05:24.500,4.61e-08,1.9e-06
1990-11-08 02:05:27.500,4.61e-08,1.9e-06
1990-11-08 02:05:31.500,4.67e-08,1.9e-06
1990-11-08 02:05:34.500,4.61e-08,1.93e-06
1990-11-08 02:05:37.500,4.64e-08,1.93e-06
1990-11-08 02:05:40.500,4.64e-08,1.93e-06
1990-11-08 02:05:43.500,4.7e-08,1.9e-06
1990-11-08 02:05:46.500,4.61e-08,1.9e-06
1990-11-08 02:05:49.500,4.7e-08,1.9e-06
1990-11-08 02:05:52.500,4.76e-08,1.93e-06
1990-11-08 02:05:55.500,4.64e-08,1.93e-06
1990-11-08 02:05:58.500,4.64e-08,1.9e-06
1990-11-08 02:06:01.500,4.64e-08,1.93e-06
1990-11-08 02:06:04.500,4.64e-08,1.9e-06
