,xrsa,xrsb
2012-05-22 07:31:00.421999,1e-09,3.1987e-07
2012-05-22 07:31:02.468999,1e-09,3.1987e-07
2012-05-22 07:31:04.518999,1e-09,3.2249e-07
2012-05-22 07:31:06.564999,1e-09,3.2249e-07
2012-05-22 07:31:08.614999,1e-09,3.1987e-07
2012-05-22 07:31:10.661999,1e-09,3.1463e-07
2012-05-22 07:31:12.708999,1e-09,3.1725e-07
2012-05-22 07:31:14.758999,1e-09,3.1463e-07
2012-05-22 07:31:16.804999,1e-09,3.12e-07
2012-05-22 07:31:18.854999,1e-09,3.1725e-07
2012-05-22 07:31:20.901999,1e-09,3.12e-07
2012-05-22 07:31:22.948999,1e-09,3.1463e-07
2012-05-22 07:31:24.998999,1e-09,3.1725e-07
2012-05-22 07:31:27.044999,1e-09,3.12e-07
2012-05-22 07:31:29.094999,1e-09,3.12e-07
2012-05-22 07:31:31.141999,1e-09,3.1463e-07
2012-05-22 07:31:33.188999,1e-09,3.1463e-07
2012-05-22 07:31:35.238999,1e-09,3.1463e-07
2012-05-22 07:31:37.284999,1e-09,3.1987e-07
2012-05-22 07:31:39.334999,1e-09,3.1463e-07
2012-05-22 07:31:41.381999,1e-09,3.1463e-07
2012-05-22 07:31:43.428999,1e-09,3.1725e-07
2012-05-22 07:31:45.478999,1e-09,3.1463e-07
2012-05-22 07:31:47.524999,1e-09,3.1463e-07
2012-05-22 07:31:49.574999,1e-09,3.1463e-07
2012-05-22 07:31:51.621999,1e-09,3.1725e-07
2012-05-22 07:31:53.668999,1e-09,3.1725e-07
2012-05-22 07:31:55.718999,1e-09,3.1725e-07
2012-05-22 07:31:57.764999,1e-09,3.1463e-07
2012-05-22 07:31:59.814999,1e-09,3.1725e-07
2012-05-22 07:32:01.861999,1e-09,3.1725e-07
2012-05-22 07:32:03.908999,1e-09,3.2249e-07
2012-05-22 07:32:05.958999,1e-09,3.1987e-07
2012-05-22 07:32:08.004999,1e-09,3.1725e-07
2012-05-22 07:32:10.054999,1e-09,3.1725e-07
2012-05-22 07:32:12.101999,1e-09,3.1987e-07
2012-05-22 07:32:14.148999,1e-09,3.2249e-07
2012-05-22 07:32:16.198999,2.7165e-09,3.1725e-07
2012-05-22 07:32:18.244999,1.602e-09,3.2249e-07
2012-05-22 07:32:20.294999,1e-09,3.1725e-07
2012-05-22 07:32:22.341999,1.602e-09,3.1725e-07
2012-05-22 07:32:24.388999,1e-09,3.2249e-07
2012-05-22 07:32:26.438999,1e-09,3.2512e-07
2012-05-22 07:32:28.484999,1e-09,3.2249e-07
2012-05-22 07:32:30.534999,1e-09,3.2249e-07
2012-05-22 07:32:32.581999,1e-09,3.2512e-07
2012-05-22 07:32:34.628999,1e-09,3.2512e-07
2012-05-22 07:32:36.678999,1e-09,3.2512e-07
2012-05-22 07:32:38.724999,1e-09,3.2249e-07
2012-05-22 07:32:40.771999,1e-09,3.2249e-07
2012-05-22 07:32:42.821999,1e-09,3.2512e-07
2012-05-22 07:32:44.868999,1e-09,3.2774e-07
2012-05-22 07:32:46.918999,1e-09,3.2774e-07
2012-05-22 07:32:48.964999,1e-09,3.2774e-07
2012-05-22 07:32:51.011999,1e-09,3.2512e-07
2012-05-22 07:32:53.061999,1e-09,3.2774e-07
2012-05-22 07:32:55.108999,1e-09,3.2774e-07
2012-05-22 07:32:57.158999,1e-09,3.2774e-07
2012-05-22 07:32:59.204999,1e-09,3.2512e-07
2012-05-22 07:33:01.251999,1e-09,3.3036e-07
2012-05-22 07:33:03.301999,1e-09,3.2512e-07
2012-05-22 07:33:05.348999,1e-09,3.3036e-07
2012-05-22 07:33:07.398999,1e-09,3.3036e-07
2012-05-22 07:33:09.444999,1e-09,3.3299e-07
2012-05-22 07:33:11.491999,1e-09,3.3561e-07
2012-05-22 07:33:13.541999,1e-09,3.3299e-07
2012-05-22 07:33:15.588999,1e-09,3.3824e-07
2012-05-22 07:33:17.638999,1e-09,3.4086e-07
2012-05-22 07:33:19.684999,1.602e-09,3.4348e-07
2012-05-22 07:33:21.731999,1.602e-09,3.461e-07
2012-05-22 07:33:23.781999,1.602e-09,3.4873e-07
2012-05-22 07:33:25.828999,3.831e-09,3.5135e-07
2012-05-22 07:33:27.878999,3.831e-09,3.566e-07
2012-05-22 07:33:29.924999,3.831e-09,3.566e-07
2012-05-22 07:33:31.971999,3.831e-09,3.6184e-07
2012-05-22 07:33:34.021999,2.7165e-09,3.6447e-07
2012-05-22 07:33:36.068999,4.9454e-09,3.6971e-07
2012-05-22 07:33:38.118999,4.9454e-09,3.7234e-07
2012-05-22 07:33:40.164999,4.9454e-09,3.7496e-07
2012-05-22 07:33:42.211999,6.0599e-09,3.8283e-07
2012-05-22 07:33:44.261999,6.0599e-09,3.8283e-07
2012-05-22 07:33:46.308999,8.2888e-09,3.8545e-07
2012-05-22 07:33:48.358999,9.4033e-09,3.9332e-07
2012-05-22 07:33:50.404999,1.1632e-08,3.9857e-07
2012-05-22 07:33:52.451999,1.2747e-08,4.0382e-07
2012-05-22 07:33:54.501999,1.3861e-08,4.1431e-07
2012-05-22 07:33:56.548999,1.609e-08,4.248e-07
2012-05-22 07:33:58.598999,2.0548e-08,4.4054e-07
2012-05-22 07:34:00.644999,2.2777e-08,4.5628e-07
2012-05-22 07:34:02.691999,2.3891e-08,4.6677e-07
2012-05-22 07:34:04.741999,2.7235e-08,4.7989e-07
2012-05-22 07:34:06.788999,3.0578e-08,4.9038e-07
2012-05-22 07:34:08.838999,3.2807e-08,5.035e-07
2012-05-22 07:34:10.884999,3.3921e-08,5.1399e-07
2012-05-22 07:34:12.931999,3.615e-08,5.2186e-07
2012-05-22 07:34:14.981999,3.7265e-08,5.3236e-07
2012-05-22 07:34:17.028999,3.9494e-08,5.4022e-07
2012-05-22 07:34:19.078999,3.9494e-08,5.481e-07
2012-05-22 07:34:21.124999,4.0608e-08,5.5859e-07
2012-05-22 07:34:23.171999,3.8379e-08,5.6121e-07
2012-05-22 07:34:25.221999,3.9494e-08,5.6121e-07
2012-05-22 07:34:27.268999,3.8379e-08,5.6908e-07
2012-05-22 07:34:29.318999,3.9494e-08,5.7695e-07
2012-05-22 07:34:31.364999,4.0608e-08,5.7957e-07
2012-05-22 07:34:33.411999,3.9494e-08,5.8482e-07
2012-05-22 07:34:35.461999,4.0608e-08,5.9007e-07
2012-05-22 07:34:37.508999,3.8379e-08,5.9794e-07
2012-05-22 07:34:39.558999,4.0608e-08,5.9794e-07
2012-05-22 07:34:41.604999,4.0608e-08,6.0056e-07
2012-05-22 07:34:43.651999,3.8379e-08,6.0318e-07
2012-05-22 07:34:45.698999,3.9494e-08,6.0843e-07
2012-05-22 07:34:47.748999,4.1723e-08,6.0843e-07
2012-05-22 07:34:49.794999,4.1723e-08,6.0843e-07
2012-05-22 07:34:51.844999,4.1723e-08,6.1105e-07
2012-05-22 07:34:53.891999,4.1723e-08,6.1105e-07
2012-05-22 07:34:55.938999,3.9494e-08,6.1105e-07
2012-05-22 07:34:57.988999,3.9494e-08,6.1368e-07
2012-05-22 07:35:00.034999,3.8379e-08,6.1105e-07
2012-05-22 07:35:02.084999,3.8379e-08,6.1368e-07
2012-05-22 07:35:04.131999,3.7265e-08,6.1368e-07
2012-05-22 07:35:06.178999,3.7265e-08,6.1368e-07
2012-05-22 07:35:08.228999,3.615e-08,6.1368e-07
2012-05-22 07:35:10.274999,3.615e-08,6.1105e-07
2012-05-22 07:35:12.324999,3.5036e-08,6.0843e-07
2012-05-22 07:35:14.371999,3.3921e-08,6.0843e-07
2012-05-22 07:35:16.418999,3.2807e-08,6.1105e-07
2012-05-22 07:35:18.468999,3.2807e-08,6.0581e-07
2012-05-22 07:35:20.514999,3.2807e-08,6.0056e-07
2012-05-22 07:35:22.564999,3.2807e-08,6.0056e-07
2012-05-22 07:35:24.611999,3.2807e-08,5.9794e-07
2012-05-22 07:35:26.658999,3.1692e-08,6.0056e-07
2012-05-22 07:35:28.708999,3.0578e-08,5.9794e-07
2012-05-22 07:35:30.754999,2.8349e-08,5.9531e-07
2012-05-22 07:35:32.804999,2.9464e-08,5.9531e-07
2012-05-22 07:35:34.851999,2.8349e-08,5.9269e-07
2012-05-22 07:35:36.898999,2.8349e-08,5.9269e-07
2012-05-22 07:35:38.948999,2.8349e-08,5.8744e-07
2012-05-22 07:35:40.994999,2.8349e-08,5.8482e-07
2012-05-22 07:35:43.044999,2.612e-08,5.822e-07
2012-05-22 07:35:45.091999,2.612e-08,5.822e-07
2012-05-22 07:35:47.138999,2.5006e-08,5.7957e-07
2012-05-22 07:35:49.188999,2.2777e-08,5.7957e-07
2012-05-22 07:35:51.234999,2.1662e-08,5.7957e-07
2012-05-22 07:35:53.284999,2.0548e-08,5.7695e-07
2012-05-22 07:35:55.331999,2.0548e-08,5.717e-07
