,xrsa,xrsb
1992-10-20 01:33:02.500,6.45e-08,1.49e-06
1992-10-20 01:33:05.500,6.67e-08,1.53e-06
1992-10-20 01:33:08.500,6.96e-08,1.53e-06
1992-10-20 01:33:12.500,7.21e-08,1.56e-06
1992-10-20 01:33:15.500,7.36e-08,1.56e-06
1992-10-20 01:33:18.500,7.64e-08,1.6e-06
1992-10-20 01:33:21.500,7.55e-08,1.6e-06
1992-10-20 01:33:24.500,7.93e-08,1.63e-06
1992-10-20 01:33:27.500,8.08e-08,1.66e-06
1992-10-20 01:33:30.500,8.27e-08,1.66e-06
1992-10-20 01:33:33.500,8.52e-08,1.66e-06
1992-10-20 01:33:36.500,8.65e-08,1.7e-06
1992-10-20 01:33:39.500,8.65e-08,1.7e-06
1992-10-20 01:33:42.500,8.8e-08,1.73e-06
1992-10-20 01:33:45.500,8.9e-08,1.73e-06
1992-10-20 01:33:48.500,9.18e-08,1.73e-06
1992-10-20 01:33:51.500,9.18e-08,1.76e-06
1992-10-20 01:33:54.500,9.49e-08,1.76e-06
1992-10-20 01:33:57.500,9.59e-08,1.76e-06
1992-10-20 01:34:00.500,9.81e-08,1.8e-06
1992-10-20 01:34:04.500,9.84e-08,1.8e-06
1992-10-20 01:34:07.500,1.02e-07,1.8e-06
1992-10-20 01:34:10.500,1.04e-07,1.83e-06
1992-10-20 01:34:13.500,1.05e-07,1.83e-06
1992-10-20 01:34:16.500,1.09e-07,1.87e-06
1992-10-20 01:34:19.500,1.1e-07,1.9e-06
1992-10-20 01:34:22.500,1.13e-07,1.9e-06
1992-10-20 01:34:25.500,1.16e-07,1.93e-06
1992-10-20 01:34:28.500,1.17e-07,1.93e-06
1992-10-20 01:34:31.500,1.19e-07,1.93e-06
1992-10-20 01:34:34.500,1.22e-07,1.97e-06
1992-10-20 01:34:37.500,1.25e-07,1.97e-06
1992-10-20 01:34:40.500,1.26e-07,1.97e-06
1992-10-20 01:34:43.500,1.28e-07,2e-06
1992-10-20 01:34:46.500,1.31e-07,2e-06
1992-10-20 01:34:49.500,1.33e-07,2.04e-06
1992-10-20 01:34:53.500,7.04e-07,2.04e-06
1992-10-20 01:34:56.500,4.62e-07,2.07e-06
1992-10-20 01:34:59.500,3.19e-07,2.1e-06
1992-10-20 01:35:02.500,2.4e-07,2.1e-06
1992-10-20 01:35:05.500,1.61e-07,2.14e-06
1992-10-20 01:35:08.500,1.58e-07,2.14e-06
1992-10-20 01:35:11.500,1.58e-07,2.17e-06
1992-10-20 01:35:14.500,1.58e-07,2.2e-06
1992-10-20 01:35:17.500,1.61e-07,2.2e-06
1992-10-20 01:35:20.500,1.64e-07,2.24e-06
