,xrsa,xrsb
1987-04-06 09:23:00.500,1.38e-08,5.24e-07
1987-04-06 09:23:03.500,1.47e-08,5.24e-07
1987-04-06 09:23:06.500,1.47e-08,5.3e-07
1987-04-06 09:23:09.500,1.49e-08,5.3e-07
1987-04-06 09:23:12.500,1.55e-08,5.3e-07
1987-04-06 09:23:15.500,1.44e-08,5.27e-07
1987-04-06 09:23:18.500,1.52e-08,5.3e-07
1987-04-06 09:23:21.500,1.58e-08,5.3e-07
1987-04-06 09:23:24.500,1.47e-08,5.33e-07
1987-04-06 09:23:27.500,1.47e-08,5.3e-07
1987-04-06 09:23:30.500,1.44e-08,5.24e-07
1987-04-06 09:23:33.500,1.44e-08,5.27e-07
1987-04-06 09:23:36.500,1.44e-08,5.24e-07
1987-04-06 09:23:40.500,1.38e-08,5.24e-07
1987-04-06 09:23:43.500,1.33e-08,5.24e-07
1987-04-06 09:23:46.500,1.3e-08,5.14e-07
1987-04-06 09:23:58.500,1.27e-08,5.18e-07
1987-04-06 09:24:01.500,1.33e-08,5.18e-07
1987-04-06 09:24:04.500,1.35e-08,5.18e-07
1987-04-06 09:24:07.500,1.38e-08,5.11e-07
1987-04-06 09:24:10.500,1.47e-08,5.11e-07
1987-04-06 09:24:13.500,1.41e-08,5.11e-07
1987-04-06 09:24:16.500,1.44e-08,5.14e-07
1987-04-06 09:24:19.500,1.38e-08,5.14e-07
1987-04-06 09:24:22.500,1.33e-08,5.08e-07
1987-04-06 09:24:25.500,1.24e-08,5.11e-07
1987-04-06 09:24:29.500,1.35e-08,5.14e-07
1987-04-06 09:24:32.500,1.24e-08,5.11e-07
1987-04-06 09:24:35.500,1.33e-08,5.08e-07
1987-04-06 09:24:37.500,1.38e-08,5.08e-07
1987-04-06 09:24:41.500,1.33e-08,5.05e-07
1987-04-06 09:24:44.500,1.41e-08,5.08e-07
1987-04-06 09:24:47.500,1.44e-08,5.11e-07
1987-04-06 09:24:50.500,1.05e-08,5.05e-07
1987-04-06 09:24:53.500,1.07e-08,4.99e-07
1987-04-06 09:24:56.500,1.21e-08,5.02e-07
1987-04-06 09:24:59.500,1.27e-08,4.99e-07
1987-04-06 09:25:02.500,1.21e-08,4.99e-07
1987-04-06 09:25:05.500,1.16e-08,4.96e-07
1987-04-06 09:25:08.500,1.05e-08,4.96e-07
1987-04-06 09:25:11.500,1.16e-08,4.96e-07
1987-04-06 09:25:14.500,1.24e-08,4.93e-07
1987-04-06 09:25:17.500,1.05e-08,4.93e-07
1987-04-06 09:25:20.500,1.07e-08,4.93e-07
1987-04-06 09:25:24.500,1.02e-08,4.9e-07
1987-04-06 09:25:27.500,1.13e-08,4.87e-07
1987-04-06 09:25:30.500,1.1e-08,4.87e-07
1987-04-06 09:25:33.500,1.05e-08,4.83e-07
1987-04-06 09:25:36.500,1.13e-08,4.87e-07
1987-04-06 09:25:39.500,1.1e-08,4.87e-07
1987-04-06 09:25:42.500,1.02e-08,4.8e-07
1987-04-06 09:25:45.500,9.9e-09,4.8e-07
1987-04-06 09:25:48.500,1.07e-08,4.83e-07
1987-04-06 09:25:51.500,1.02e-08,4.77e-07
1987-04-06 09:25:54.500,1.07e-08,4.8e-07
1987-04-06 09:25:57.500,1.07e-08,4.77e-07
1987-04-06 09:26:00.500,1.1e-08,4.71e-07
